# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Confiscate	WC00	nl66	USG	66
Confiscation Coup	PKLD	41s	KLD	41
Confounding Conundrum	PZNR	53p	ZNR	53
Confounding Conundrum	PZNR	53s	ZNR	53
Confront the Past	PSTX	67p	STX	67
Confront the Past	PSTX	67s	STX	67
Connecting the Dots	PMKM	118p	MKM	118
Connecting the Dots	PMKM	118s	MKM	118
Connive // Concoct	PGRN	222s	GRN	222
Conqueror's Galleon // Conqueror's Foothold	PXLN	234s	XLN	234
Consecrate Land	CED	15	2ED	15
Consecrate Land	CEI	15	2ED	15
Conservator	CED	238	2ED	238
Conservator	CEI	238	2ED	238
Conservator	SUM	241	3ED	241
Conspicuous Snoop	PM21	139p	M21	139
Conspicuous Snoop	PM21	139s	M21	139
Conspiracy Theorist	PSTX	94p	STX	94
Conspiracy Theorist	PSTX	94s	STX	94
Conspiracy Unraveler	PMKM	47p	MKM	47
Conspiracy Unraveler	PMKM	47s	MKM	47
Constant Mists	WC99	ml104sb	SLD	2026
Consulate Crackdown	PAER	11s	AER	11
Consult the Star Charts	PEOE	51p	EOE	51
Consult the Star Charts	PEOE	51s	EOE	51
Consume Spirit	9ED	119★	9ED	119
Consumed by Greed	FDC	92	BLB	87
Consuming Aberration	PFDN	238s	FDN	238
Consuming Blob	PMID	177p	MID	177
Consuming Blob	PMID	177s	MID	177
Consuming Corruption	FDC	93	MH3	407
Consuming Tide	PVOW	53s	VOW	53
Contagion	WC97	js45	ALL	45
Containment Priest	PM21	13p	M21	13
Containment Priest	PM21	13s	M21	13
Contaminated Bond	10E	132★	10E	132
Contaminated Bond	9ED	120★	9ED	120
Contaminated Landscape	FRC	68	MH3	218
Contract from Below	CED	97	2ED	97
Contract from Below	CEI	97	2ED	97
Contract from Below	SUM	97	2ED	97
Contractual Safeguard	PNCC	14p	NCC	14
Control Magic	CED	53	2ED	53
Control Magic	CEI	53	2ED	53
Control Magic	PTC	ml64	4ED	64
Control Magic	PTC	ml64sb	2ED	53
Control Magic	SUM	52	30A	52
Control Win Condition	CMB2	19	CMB1	19
Convergence of Dominion	40K	154★	40K	154
Conversion	CED	16	2ED	16
Conversion	CEI	16	2ED	16
Conversion	SUM	14	3ED	14
Copper Tablet	CED	239	2ED	239
Copper Tablet	CEI	239	2ED	239
Copperline Gorge	PONE	249p	ONE	249
Copperline Gorge	PONE	249s	ONE	249
Copy Artifact	CED	54	2ED	54
Copy Artifact	CEI	54	2ED	54
Copy Artifact	SUM	53	30A	53
Copy Enchantment	RVR	312z	RVR	312
Coral Eel	8ED	70★	8ED	70
Coral Merfolk	7ED	66★	7ED	66
Coralhelm Chronicler	PZNR	54p	ZNR	54
Coralhelm Chronicler	PZNR	54s	ZNR	54
Cori Mountain Monastery	PTDM	252p	TDM	252
Cori Mountain Monastery	PTDM	252s	TDM	252
Cori-Steel Cutter	PTDM	103p	TDM	103
Cori-Steel Cutter	PTDM	103s	TDM	103
Corpse Dance	WC99	js116	TMP	116
Corpse Explosion	PSNC	179p	SNC	179
Corpse Explosion	PSNC	179s	SNC	179
Corpse Knight	M20	206†	M20	206
Corpses of the Lost	PLCI	98p	LCI	98
Corpses of the Lost	PLCI	98s	LCI	98
Corrupt	7ED	124★	7ED	124
Corrupted Crossroads	POGW	169s	OGW	169
Corrupted Grafstone	PSOI	253s	SOI	253
Corrupted Key	CMB2	39	CMB1	39
Cosima, God of the Voyage // The Omenkeel	PKHM	50s	KHM	50
Cosmium Confluence	PLCI	181p	LCI	181
Cosmium Confluence	PLCI	181s	LCI	181
Cosmogoyf	PEOE	215p	EOE	215
Cosmogoyf	PEOE	215s	EOE	215
Cosmogrand Zenith	PEOE	9p	EOE	9
Cosmogrand Zenith	PEOE	9s	EOE	9
Cosmos Charger	PKHM	51p	KHM	51
Cosmos Charger	PKHM	51s	KHM	51
Cosmos Elixir	PKHM	237p	KHM	237
Cosmos Elixir	PKHM	237s	KHM	237
Counsel of the Soratami	9ED	69★	9ED	69
Count on Luck	FDC	147	DFT	118
Count on Luck	PDFT	118p	DFT	118
Count on Luck	PDFT	118s	DFT	118
Court of Grace	FDC	21	CMR	16
Coveted Falcon	PMKM	48p	MKM	48
Coveted Falcon	PMKM	48s	MKM	48
Coveted Prize	PZNR	95p	ZNR	95
Coveted Prize	PZNR	95s	ZNR	95
Covetous Dragon	WC99	kb80	UDS	80
Cowardice	8ED	71★	8ED	71
Cowardice	9ED	70★	9ED	70
Crabomination	PMH3	85s	MH3	85
Crackle with Power	PSTX	95p	STX	95
Crackle with Power	PSTX	95s	STX	95
Crackling Doom	PKTK	171s	KTK	171
Crafty Cutpurse	PRIX	33s	RIX	33
Crafty Pathmage	9ED	71★	9ED	71
Cragcrown Pathway // Timbercrown Pathway	PZNR	261s	ZNR	261
Cragplate Baloth	PZNR	183p	ZNR	183
Cragplate Baloth	PZNR	183s	ZNR	183
Cranial Plating	40K	236★	40K	236
Cranial Plating	WC04	ap113	5DN	113
Crash the Party	PNCC	57p	NCC	57
Crater Elemental	PDTK	132s	DTK	132
Crater's Claws	PKTK	106s	KTK	106
Craterhoof Behemoth	PTDM	138p	TDM	138
Craterhoof Behemoth	PTDM	138s	TDM	138
Craw Wurm	8ED	239★	8ED	239
Craw Wurm	9ED	233★	9ED	233
Craw Wurm	CED	191	2ED	191
Craw Wurm	CEI	191	2ED	191
Craw Wurm	SUM	190	3ED	190
Crawling Barrens	PZNR	262p	ZNR	262
Crawling Barrens	PZNR	262s	ZNR	262
Creature Bond	CED	56	2ED	56
Creature Bond	CEI	56	2ED	56
Creature Bond	SUM	55	30A	55
Creeping Mold	7ED	236★	7ED	236
Creeping Mold	8ED	240★	8ED	240
Creeping Mold	9ED	234★	9ED	234
Creeping Mold	WC00	jk220	6ED	220
Creeping Mold	WC00	jk220sb	10E	258
Creepy Puppeteer	PVOW	151s	VOW	151
Crested Sunmare	PHOU	6s	HOU	6
Crimson Hellkite	7ED	178★	7ED	178
Crimson Hellkite	OLEP	80	6ED	172
Crippling Fatigue	PHUK	30	PLST	TOR-58
Crippling Fatigue	PHUK	6	PLST	TOR-58
Crippling Fear	PKHM	82p	KHM	82
Crippling Fear	PKHM	82s	KHM	82
Croaking Counterpart	PMID	215p	MID	215
Croaking Counterpart	PMID	215s	MID	215
Crosis's Charm	WC01	ar99	PLS	99
Crossbow Infantry	7ED	12★	7ED	12
Crossbow Infantry	8ED	15★	8ED	15
Crossbow Infantry	9ED	12★	9ED	12
Crucible of Fire	FDC	148	ALA	96
Crucible of Worlds	PM19	229s	M19	229
Cruel Edict	9ED	121★	9ED	121
Cruel Reality	PAKH	84s	AKH	84
Cruel Somnophage // Can't Wake Up	PWOE	222p	WOE	222
Cruel Somnophage // Can't Wake Up	PWOE	222s	WOE	222
Cruelclaw's Heist	PBLB	88p	BLB	88
Cruelclaw's Heist	PBLB	88s	BLB	88
Crumble	SUM	191	3ED	191
Crumble	WC97	sg287sb	3ED	191
Crumbling Necropolis	40K	273★	40K	273
Crumbling Sanctuary	WC00	jf292	MMQ	292
Crusade	CED	17	2ED	17
Crusade	CEI	17	2ED	17
Crusade	SUM	15	3ED	15
Crush of Tentacles	POGW	53s	OGW	53
Crux of Fate	FRF	65★	FRF	65
Crux of Fate	PFRF	65p	FRF	65
Crypt Angel	WC01	tvdl97	INV	97
Crypt Angel	WC01	tvdl97sb	INV	97
Crypt Ghast	RVR	322z	RVR	322
Crypt Rats	7ED	125★	7ED	125
Crypt Rats	PHUK	28	7ED	125
Cryptbreaker	FDC	94	DRC	41
Cryptbreaker	PEMN	86s	EMN	86
Cryptcaller Chariot	PDFT	80p	DFT	80
Cryptcaller Chariot	PDFT	80s	DFT	80
Cryptek	40K	33★	40K	33
Cryptex	PMKM	251p	MKM	251
Cryptex	PMKM	251s	MKM	251
Cryptic Coat	PMKM	50p	MKM	50
Cryptic Coat	PMKM	50s	MKM	50
Cryptic Pursuit	PNCC	70p	NCC	70
Cryptothrall	40K	155★	40K	155
Crystal Barricade	PFDN	7p	FDN	7
Crystal Barricade	PFDN	7s	FDN	7
Crystal Rod	7ED	291★	7ED	291
Crystal Rod	8ED	295★	8ED	295
Crystal Rod	CED	240	2ED	240
Crystal Rod	CEI	240	2ED	240
Crystal Rod	SUM	242	3ED	242
Crystal Vein	WC00	jf322	6ED	322
Cubwarden	PIKO	7p	IKO	7
Cubwarden	PIKO	7s	IKO	7
Culling Ritual	PSTX	172p	STX	172
Culling Ritual	PSTX	172s	STX	172
Culmination of Studies	PSTX	173p	STX	173
Culmination of Studies	PSTX	173s	STX	173
Cultist of the Absolute	PCLB	123s	CLB	123
Cultivate	40K	211★	40K	211
Cultivator Colossus	PVOW	195p	VOW	195
Cultivator Colossus	PVOW	195s	VOW	195
Cultivator of Blades	PKLD	151s	PKLD	151
Cultivator's Caravan	FDC	251	DRC	127
Cultivator's Caravan	PKLD	203s	KLD	203
Cunning Wish	WC02	cr37	JUD	37
Cunning Wish	WC03	dz37	JUD	37
Curator of Destinies	PFDN	34s	FDN	34
Curator of Mysteries	PAKH	49s	PAKH	49★
Curiosity	8ED	72★	8ED	72
Curious Altisaur	FDC	198	LCC	58
Curious Colossus	PECL	12p	ECL	12
Currency Converter	FRC	55	MSC	197
Currency Converter	PNCC	81p	NCC	81
Curse of Hospitality	PVOW	152s	VOW	152
Curse of Leeches // Leeching Lurker	PMID	94s	MID	94
Curse of Shaken Faith	PMID	134p	MID	134
Curse of Shaken Faith	PMID	134s	MID	134
Curse of Silence	PMID	15p	MID	15
Curse of Silence	PMID	15s	MID	15
Curse of Surveillance	PMID	46p	MID	46
Curse of Surveillance	PMID	46s	MID	46
Cursecloth Wrappings	PDFT	81p	DFT	81
Cursecloth Wrappings	PDFT	81s	DFT	81
Cursed Land	CED	98	2ED	98
Cursed Land	CEI	98	2ED	98
Cursed Land	ITP	18	2ED	98
Cursed Land	RQS	17	2ED	98
Cursed Land	SUM	98	2ED	98
Cursed Mirror	FDC	149	BRC	115
Cursed Mirror	FRC	49	BRC	115
Cursed Recording	PDSK	131p	DSK	131
Cursed Recording	PDSK	131s	DSK	131
Cursed Scroll	OLEP	79	TMP	281
Cursed Scroll	WC98	bh281sb	TMP	281
Cursed Scroll	WC98	br281	TMP	281
Cursed Scroll	WC99	js281	TMP	281
Cursed Scroll	WC99	kb281	TMP	281
Cursed Scroll	WC99	ml281	TMP	281
Cursed Scroll	WC99	mlp281	TMP	281
Cursed Totem	WC00	tvdl278sb	6ED	278
Cut // Ribbons	PAKH	223s	AKH	223
Cut Your Losses	PSNC	38p	SNC	38
Cut Your Losses	PSNC	38s	SNC	38
Cut a Deal	FDC	22	BLC	105
Cut of the Profits	PSNC	72p	SNC	72
Cut of the Profits	PSNC	72s	SNC	72
Cybernetica Datasmith	40K	114★	40K	114
Cyclone Summoner	PKHM	52p	KHM	52
Cyclone Summoner	PKHM	52s	KHM	52
Cyclone Summoner	PKHM	52★	KHM	52
Cyclopean Titan	CMB2	40	CMB1	40
Cyclopean Tomb	CED	241	2ED	241
Cyclopean Tomb	CEI	241	2ED	241
Dack Fayden	MED	RA6	CNS	42
Daemogoth Titan	PSTX	174p	STX	174
Daemogoth Titan	PSTX	174s	STX	174
Daghatar the Adamant	PFRF	9s	FRF	9
Dakkon, Shadow Slayer	PMH2	192s	MH2	192
Dakmor Lancer	7ED	126★	7ED	126
Dalakos, Crafter of Wonders	PTHB	212p	THB	212
Dalakos, Crafter of Wonders	PTHB	212s	THB	212
Dalkovan Encampment	PTDM	253p	TDM	253
Dalkovan Encampment	PTDM	253s	TDM	253
Damia, Sage of Stone	OCMD	191	CMD	191
Damnable Pact	PDTK	93s	DTK	93
Damning Verdict	PNCC	15p	NCC	15
Dance of the Dead	PTC	ll118	ICE	118
Dance of the Manse	PELD	186p	ELD	186
Dance of the Manse	PELD	186s	ELD	186
Dancing Scimitar	9ED	292★	9ED	292
Dancing Scimitar	SUM	243	3ED	243
Dancing Sword	PAFR	8a	AFR	360
Dancing Sword	PAFR	8p	AFR	8
Dancing Sword	PAFR	8s	AFR	8
Danitha, Benalia's Hope	PDMU	15p	DMU	15
Danitha, Benalia's Hope	PDMU	15s	DMU	15
Daretti, Ingenious Iconoclast	MED	GR3	CN2	74
Daretti, Rocketeer Engineer	PDFT	120p	DFT	120
Daretti, Rocketeer Engineer	PDFT	120s	DFT	120
Daretti, Scrap Savant	OC14	33	C14	33
Darigaaz Reincarnated	PDOM	193s	DOM	193
Daring Apprentice	7ED	68★	7ED	68
Daring Apprentice	8ED	73★	8ED	73
Daring Apprentice	9ED	72★	9ED	72
Daring Archaeologist	PDOM	13s	DOM	13
Daring Saboteur	PXLN	49s	XLN	49
Dark Apostle	40K	75★	40K	75
Dark Banishing	7ED	127★	7ED	127
Dark Banishing	8ED	123★	8ED	123
Dark Banishing	9ED	122★	9ED	122
Dark Banishing	OLEP	56	7ED	127
Dark Banishing	PTC	gb119sb	7ED	127
Dark Banishing	PTC	ll119	CST	119
Dark Banishing	WC03	we123sb	7ED	127
Dark Confidant	PFIN	94s	FIN	94
Dark Confidant	RVR	323z	RVR	323
Dark Intimations	PAER	128s	AER	128
Dark Petition	PORI	90p	ORI	90
Dark Petition	PORI	90s	ORI	90
Dark Privilege	MGB	3	VIS	56
Dark Salvation	PEMN	87s	EMN	87
Dark-Dweller Oracle	PM19	134s	M19	134
Darkbore Pathway // Slitherbore Pathway	PKHM	254s	KHM	254
Darkest Hour	7ED	128★	7ED	128
Darkness	40K	197★	40K	197
Darkpact	CED	100	2ED	100
Darkpact	CEI	100	2ED	100
Darkpact	SUM	100	2ED	100
Darkslick Shores	PONE	250p	ONE	250
Darkslick Shores	PONE	250s	ONE	250
Darkstar Augur	PBLB	90p	BLB	90
Darkstar Augur	PBLB	90s	BLB	90
Darksteel Citadel	FDC	300	2XM	315
Darksteel Citadel	WC04	mb164	DST	164
Darksteel Juggernaut	FDC	252	BRC	137
Darkwater Catacombs	40K	274★	40K	274
Darkwater Catacombs	WC02	cr319	ODY	319
Darting Merfolk	WC01	ab72	MMQ	72
Davriel, Rogue Shadowmage	PWAR	83s	WAR	83
Dawn of Hope	PGRN	8p	GRN	8
Dawn of Hope	PGRN	8s	GRN	8
Dawn of a New Age	LTR	731z	LTR	731
Dawn of a New Age	PLTR	5s	LTR	5
Dawnfeather Eagle	AER	14†	AER	14
Dawnhand Dissident	PECL	98p	ECL	98
Dawnsire, Sunstar Dreadnought	PEOE	238p	EOE	238
Dawnsire, Sunstar Dreadnought	PEOE	238s	EOE	238
Daxos the Returned	OC15	43	C15	43
Daxos, Blessed by the Sun	MUL	132z	MUL	132
Day of Black Sun	PTLA	94s	TLA	94
Daze	WC00	tvdl30sb	DD2	23
Dazzling Angel	FDC	24	FDN	732
Dazzling Theater // Prop Room	PDSK	3p	DSK	3
Dazzling Theater // Prop Room	PDSK	3s	DSK	3
Dead Man's Chest	PRIX	66s	RIX	66
Deadeye Tracker	PXLN	99p	XLN	99
Deadeye Tracker	PXLN	99s	XLN	99
Deadlock Trap	PKLD	204s	KLD	204
Deadly Cover-Up	PMKM	83p	MKM	83
Deadly Cover-Up	PMKM	83s	MKM	83
Deafening Clarion	PGRN	165p	GRN	165
Deafening Clarion	PGRN	165s	GRN	165
Death Baron	FDC	95	ALA	70
Death Baron	PM19	90p	PM19	90
Death Baron	PM19	90s	PM19	90
Death Begets Life	PTDM	176p	TDM	176
Death Begets Life	PTDM	176s	TDM	176
Death Pit Offering	8ED	124★	8ED	124
Death Pits of Rath	8ED	125★	8ED	125
Death Pits of Rath	9ED	123★	9ED	123
Death Ward	CED	18	2ED	18
Death Ward	CEI	18	2ED	18
Death Ward	SUM	16	3ED	16
Death's Oasis	PIKO	182p	IKO	182
Death's Oasis	PIKO	182s	IKO	182
Death's Presence	40K	212★	40K	212
Deathbloom Ritualist	PBRO	208p	BRO	208
Deathbloom Ritualist	PBRO	208s	BRO	208
Deathbringer Regent	PDTK	96s	PDTK	96
Deathcap Cultivator	PSOI	202s	SOI	202
Deathcap Glade	PSOS	253p	SOS	253
Deathcap Glade	PVOW	261p	VOW	261
Deathcap Glade	PVOW	261s	VOW	261
Deathgazer	8ED	126★	8ED	126
Deathgazer	9ED	124★	9ED	124
Deathgorge Scavenger	PXLN	184p	XLN	184
Deathgorge Scavenger	PXLN	184s	XLN	184
Deathgrip	CED	101	2ED	101
Deathgrip	CEI	101	2ED	101
Deathgrip	SUM	101	2ED	101
Deathlace	CED	102	2ED	102
Deathlace	CEI	102	2ED	102
Deathlace	SUM	102	2ED	102
Deathleaper, Terror Weapon	40K	115★	40K	115
Deathrite Shaman	RVR	363z	RVR	363
Debilitating Injury	UGIN	68	KTK	68
Debris Beetle	PDFT	199p	DFT	199
Debris Beetle	PDFT	199s	DFT	199
Decadent Dragon // Expensive Taste	PWOE	223p	WOE	223
Decadent Dragon // Expensive Taste	PWOE	223s	WOE	223
Deceit	PECL	212p	ECL	212
Deceiver of Form	POGW	1s	OGW	1
Decimator of the Provinces	PEMN	2s	EMN	2
Declaration in Stone	PSOI	12s	SOI	12
Decompose	WC03	pk128sb	DDK	20
Decorum Dissertation	PSOS	78p	SOS	78
Decree of Justice	WC03	dz8	SCG	8
Decree of Justice	WC04	gn8	SCG	8
Decree of Justice	WC04	jn8	SCG	8
Decree of Pain	40K	198★	40K	198
Deep Analysis	WC02	cr36	TOR	36
Deep Analysis	WC02	shh36	TOR	36
Deep Analysis	WC03	dh36	TOR	36
Deep Analysis	WC03	dh36sb	2X2	44
Deep Analysis	WC03	dz36	TOR	36
Deepfathom Echo	PLCI	228p	LCI	228
Deepfathom Echo	PLCI	228s	LCI	228
Deepfathom Skulker	POGW	43s	POGW	43
Deeproot Champion	PXLN	185p	PXLN	185
Deeproot Champion	PXLN	185s	PXLN	185
Deeproot Elite	PRIX	127p	RIX	127
Deeproot Elite	PRIX	127s	RIX	127
Deeproot Pilgrimage	PLCI	52p	LCI	52
Deeproot Pilgrimage	PLCI	52s	LCI	52
Deeproot Wayfinder	PMOM	184p	MOM	184
Deeproot Wayfinder	PMOM	184s	MOM	184
Deepway Navigator	PECL	214p	ECL	214
Deepwood Ghoul	8ED	127★	8ED	127
Defenders of Humanity	40K	11★	40K	11
Defense Grid	8ED	296★	8ED	296
Defense Grid	9ED	293★	9ED	293
Defense Grid	BRR	76z	BRR	76
Defense Grid	WC00	nl125sb	8ED	296
Defiant Bloodlord	PBFZ	107s	PBFZ	107
Defiler of Dreams	PDMU	46p	DMU	46
Defiler of Dreams	PDMU	46s	DMU	46
Defiler of Faith	PDMU	16p	DMU	16
Defiler of Faith	PDMU	16s	DMU	16
Defiler of Flesh	PDMU	90p	DMU	90
Defiler of Flesh	PDMU	90s	DMU	90
Defiler of Instinct	PDMU	119p	DMU	119
Defiler of Instinct	PDMU	119s	DMU	119
Defiler of Vigor	PDMU	160p	DMU	160
Defiler of Vigor	PDMU	160s	DMU	160
Deflecting Palm	PKTK	173s	KTK	173
Deflection	7ED	69★	7ED	69
Deflection	8ED	74★	8ED	74
Deflection	OLEP	29	5ED	81
Deflection	OLEP	30	5ED	81
Deflection	PTC	ml81	5ED	81
Defy Death	FDC	25	AVR	16
Dehydration	10E	78★	10E	78
Dehydration	8ED	75★	8ED	75
Dehydration	9ED	73★	9ED	73
Delighted Halfling	PLTR	158s	LTR	158
Delighted Halfling	PLTR	402s	LTR	402
Deliver Unto Evil	PWAR	85s	WAR	85
Delney, Streetwise Lookout	PMKM	12p	MKM	12
Delney, Streetwise Lookout	PMKM	12s	MKM	12
Delusions of Mediocrity	7ED	70★	7ED	70
Demanding Dragon	PM19	135p	M19	135
Demanding Dragon	PM19	135s	M19	135
Demilich	PAFR	53a	AFR	366
Demilich	PAFR	53p	AFR	53
Demilich	PAFR	53s	AFR	53
Demolish	8ED	183★	8ED	183
Demolish	9ED	179★	9ED	179
Demolish	WC03	pk183sb	10E	196
Demon of Catastrophes	PM19	91s	PM19	91
Demon of Dark Schemes	PKLD	73s	KLD	73
Demon's Horn	9ED	294★	9ED	294
Demonic Attorney	CED	103	2ED	103
Demonic Attorney	CEI	103	2ED	103
Demonic Attorney	SUM	103	2ED	103
Demonic Bargain	PVOW	103p	VOW	103
Demonic Bargain	PVOW	103s	VOW	103
Demonic Counsel	PDSK	92p	DSK	92
Demonic Counsel	PDSK	92s	DSK	92
Demonic Embrace	PM21	95p	M21	95
Demonic Embrace	PM21	95s	M21	95
Demonic Hordes	CED	104	2ED	104
Demonic Hordes	CEI	104	2ED	104
Demonic Hordes	SUM	104	2ED	104
Demonic Junker	PDFT	83p	DFT	83
Demonic Junker	PDFT	83s	DFT	83
Demonic Tutor	CED	105	2ED	105
Demonic Tutor	CEI	105	2ED	105
Demonic Tutor	SUM	105	2ED	105
Demonlord Belzenlok	PDOM	86s	DOM	86
Demystify	8ED	16★	8ED	16
Demystify	9ED	13★	9ED	13
Den Protector	PDTK	181s	DTK	181
Den of the Bugbear	PAFR	254a	AFR	254
Den of the Bugbear	PAFR	254p	AFR	254
Den of the Bugbear	PAFR	254s	AFR	254
Dennick, Pious Apprentice // Dennick, Pious Apparition	PMID	217s	MID	217
Denry Klin, Editor in Chief	PNCC	71p	NCC	71
Deny Reality	40K	223★	40K	223
Deny the Witch	40K	116★	40K	116
Depala, Pilot Exemplar	PKLD	178s	KLD	178
Deploy the Gatewatch	PEMN	20s	EMN	20
Deploy to the Front	40K	184★	40K	184
Depopulate	PSNC	10p	SNC	10
Depopulate	PSNC	10s	SNC	10
Deputy of Detention	PRNA	165p	RNA	165
Deputy of Detention	PRNA	165s	RNA	165
Dermotaxi	PMH2	224s	MH2	224
Descend upon the Sinful	PSOI	13s	SOI	13
Desecrated Tomb	PM19	230s	PM19	230
Desert Twister	SUM	192	3ED	192
Desert of the Glorified	40K	275★	40K	275
Deserted Beach	PMID	260p	MID	260
Deserted Beach	PMID	260s	MID	260
Desolation Twin	PBFZ	6s	BFZ	6
Despark	FRC	50	AFC	184
Despoiler of Souls	PORI	93s	ORI	93
Destroy Evil	FDC	26	DMU	17
Detection Tower	PM19	249s	M19	249
Detective's Phoenix	PMH3	116s	MH3	116
Determined Iteration	PNCC	45p	NCC	45
Detonate	ITP	30	4ED	184
Detonate	PTC	mj184	4ED	184
Detonate	PTC	mj184sb	4ED	184
Detonate	RQS	29	4ED	184
Devastating Mastery	PSTX	14p	STX	14
Devastating Mastery	PSTX	14s	STX	14
Devastating Onslaught	PEOE	132p	EOE	132
Devastating Onslaught	PEOE	132s	EOE	132
Devilish Valet	PSNC	105p	SNC	105
Devilish Valet	PSNC	105s	SNC	105
Devils' Playground	PSOI	151s	SOI	151
Devourer of Destiny	PMH3	2s	MH3	2
Devouring Sugarmaw // Have for Dinner	PWOE	224p	WOE	224
Devouring Sugarmaw // Have for Dinner	PWOE	224s	WOE	224
Diabolic Edict	WC99	js128	TMP	128
Diabolic Tutor	8ED	128★	8ED	128
Diabolic Tutor	9ED	125★	9ED	125
Diabolic Tutor	PHUK	51	10E	135
Diamond Lion	PMH2	225s	MH2	225
Dig Through Time	PKTK	36p	KTK	36
Dig Through Time	PKTK	36s	KTK	36
Dig Up	PVOW	197p	VOW	197
Dig Up	PVOW	197s	VOW	197
Diligent Zookeeper	PTLA	171s	TLA	171
Dimensional Infiltrator	POGW	44s	OGW	44
Dimir Signet	FRC	56	ARC	104
Dina's Guidance	PSOS	184p	SOS	184
Dina, Soul Steeper	MUL	167z	MUL	167
Dingus Egg	7ED	292★	7ED	292
Dingus Egg	8ED	297★	8ED	297
Dingus Egg	CED	242	2ED	242
Dingus Egg	CEI	242	2ED	242
Dingus Egg	SUM	244	3ED	244
Dion, Bahamut's Dominant // Bahamut, Warden of Light	PFIN	16s	FIN	16
Diplomatic Relations	EOE	177	EOE	177†
Dire Fleet Daredevil	PRIX	99p	RIX	99
Dire Fleet Daredevil	PRIX	99s	RIX	99
Dire Fleet Poisoner	PRIX	68p	RIX	68
Dire Fleet Poisoner	PRIX	68s	RIX	68
Dire Fleet Ravager	PXLN	104s	XLN	104
Dire-Strain Rampage	PMID	219p	MID	219
Dire-Strain Rampage	PMID	219s	MID	219
Diregraf Colossus	FDC	96	MIC	112
Diregraf Colossus	PSOI	107s	SOI	107
Dirge of Dread	PHUK	18	A25	86
Dirty Wererat	PHUK	31	ODY	130
Dirty Wererat	PHUK	7	ODY	130
Disallow	PAER	31p	AER	31
Disallow	PAER	31s	AER	31
Disciple of the Vault	WC04	ap62a	2XM	86
Discontinuity	PM21	48p	M21	48
Discontinuity	PM21	48s	M21	48
Disenchant	7ED	13★	7ED	13
Disenchant	CED	19	2ED	19
Disenchant	CEI	19	2ED	19
Disenchant	OLEP	46	2ED	19
Disenchant	PTC	bl22	4ED	22
Disenchant	PTC	et22	4ED	22
Disenchant	PTC	ml22	4ED	22
Disenchant	PTC	pp22	4ED	22
Disenchant	PTC	pp22sb	2ED	19
Disenchant	PTC	shr22	4ED	22
Disenchant	SUM	17	3ED	17
Disenchant	WC97	jk26	5ED	26
Disenchant	WC97	jk26sb	2ED	19
Disenchant	WC97	js26sb	2ED	19
Disenchant	WC98	bh16	6ED	16
Disenchant	WC98	bh16sb	2ED	19
Disintegrate	CED	141	2ED	141
Disintegrate	CEI	141	2ED	141
Disintegrate	ITP	31	2ED	141
Disintegrate	RQS	30	2ED	141
Disintegrate	SUM	142	3ED	142
Disintegrate	WC97	jk219	5ED	219
Disintegrate	WC97	pm219	5ED	219
Dismal Backwater	40K	276★	40K	276
Dismiss	WC98	rb58a	C13	39
Dismissive Pyromancer	PM19	136s	M19	136
Disorder	7ED	179★	7ED	179
Displacer Kitten	PCLB	63p	CLB	63
Displacer Kitten	PCLB	63s	CLB	63
Display of Power	PLTR	119s	LTR	119
Dispossess	PAKH	86s	AKH	86
Disrupt	WC02	rl51sb	INV	51
Disrupt	WC97	pm37a	INV	51
Disrupting Scepter	7ED	293★	7ED	293
Disrupting Scepter	8ED	298★	8ED	298
Disrupting Scepter	9ED	295★	9ED	295
Disrupting Scepter	CED	243	2ED	243
Disrupting Scepter	CEI	243	2ED	243
Disrupting Scepter	PTC	et316sb	2ED	243
Disrupting Scepter	SUM	245	3ED	245
Disruptor Flute	PMH3	209s	MH3	209
Disruptor of Currents	PECL	47p	ECL	47
Dissection Tools	PDSK	245p	DSK	245
Dissection Tools	PDSK	245s	DSK	245
Dissipate	OLEP	81	DBL	49
Dissipate	OLEP	82	DBL	49
Dissipate	WC97	pm61sb	DBL	49
Dissipate	WC98	rb61	MIR	61
Distended Mindbender	PEMN	3s	EMN	3
Distorting Lens	8ED	299★	8ED	299
District Mascot	PDFT	158p	DFT	158
District Mascot	PDFT	158s	DFT	158
Divine Offering	PTC	bl6sb	5ED	27
Divine Offering	PTC	et6sb	5ED	27
Divine Offering	PTC	ml6sb	5ED	27
Divine Offering	PTC	pp6sb	5ED	27
Divine Offering	PTC	shr6sb	5ED	27
Divine Visitation	PGRN	10p	GRN	10
Divine Visitation	RVR	306z	RVR	306
Diving Griffin	8ED	17★	8ED	17
Djeru and Hazoret	PMOM	221p	MOM	221
Djeru and Hazoret	PMOM	221s	MOM	221
Djeru, With Eyes Open	PHOU	10s	HOU	10
Djinn of Wishes	PM19	52s	M19	52
Docent of Perfection // Final Iteration	PEMN	56s	EMN	56
Doctor Doom, King of Latveria	LMAR	7	MSC	6
Dodgy Jalopy	PNCC	58p	NCC	58
Dogged Detective	PNCC	35p	NCC	35
Dollhouse of Horrors	PVOW	255p	VOW	255
Dollhouse of Horrors	PVOW	255s	VOW	255
Dollmaker's Shop // Porcelain Gallery	PDSK	4p	DSK	4
