# SPDX-License-Identifier: GPL-3.0-or-later
# SPDX-FileCopyrightText: 2026 Hexproof contributors
# Generated by tools/forge-printings/generate.py; see printing-aliases.json.
# name	catalog set	catalog number	native set	native number
Ajani, Nacatl Pariah // Ajani, Nacatl Avenger	PMH3	237s	MH3	237
Ajani, Outland Chaperone	PECL	4p	ECL	4
Ajani, Sleeper Agent	PDMU	192p	DMU	192
Ajani, Sleeper Agent	PDMU	192s	DMU	192
Ajani, Strength of the Pride	PM20	2p	M20	2
Ajani, Strength of the Pride	PM20	2s	M20	2
Ajani, the Greathearted	PWAR	184p	WAR	184
Ajani, the Greathearted	PWAR	184s	WAR	184
Akal Pakal, First Among Equals	PLCI	44p	LCI	44
Akal Pakal, First Among Equals	PLCI	44s	LCI	44
Akiri, Fearless Voyager	PZNR	220p	ZNR	220
Akiri, Fearless Voyager	PZNR	220s	ZNR	220
Akoum Firebird	PBFZ	138s	BFZ	138
Akoum Hellkite	PBFZ	139s	BFZ	139
Akroma's Vengeance	WC04	gn2	CMA	2
Akroma's Vengeance	WC04	jn2	CMA	2
Akroma, Angel of Fury	FRC	19	A25	119
Akul the Unrepentant	POTJ	189p	OTJ	189
Akul the Unrepentant	POTJ	189s	OTJ	189
Alabaster Potion	ITP	1	4ED	1
Alabaster Potion	RQS	1	4ED	1
Aladdin's Lamp	SUM	231	3ED	231
Aladdin's Ring	7ED	286★	7ED	286
Aladdin's Ring	8ED	291★	8ED	291
Aladdin's Ring	9ED	286★	9ED	286
Aladdin's Ring	SUM	232	3ED	232
Alania, Divergent Storm	PBLB	204p	BLB	204
Alania, Divergent Storm	PBLB	204s	BLB	204
Alaundo the Seer	PCLB	264s	CLB	264
Albino Troll	WC99	ml231	USG	231
Alchemist's Gambit	PVOW	140s	VOW	140
Alesha, Who Laughs at Fate	PFDN	115p	FDN	115
Alesha, Who Laughs at Fate	PFDN	115s	FDN	115
Alesha, Who Smiles at Death	PFRF	90s	FRF	90
Alhammarret, High Arbiter	PORI	43s	PORI	43
Aligned Hedron Network	PBFZ	222s	BFZ	222
All Hallow's Eve	OLEP	42	LEG	88
All Is Dust	FDC	9	CMM	800
All Will Be One	PONE	118p	ONE	118
All Will Be One	PONE	118s	ONE	118
All-Out Assault	PTDM	167p	TDM	167
All-Out Assault	PTDM	167s	TDM	167
All-Seeing Arbiter	PSNC	34p	SNC	34
All-Seeing Arbiter	PSNC	34s	SNC	34
Alley Strangler	AER	52†	AER	52
Allure of the Unknown	PTHB	207p	THB	207
Allure of the Unknown	PTHB	207s	THB	207
Ally Encampment	PBFZ	228s	BFZ	228
Alpharael, Stonechosen	PEOE	87p	EOE	87
Alpharael, Stonechosen	PEOE	87s	EOE	87
Alpine Moon	PM19	128s	M19	128
Alquist Proft, Master Sleuth	PMKM	185p	MKM	185
Alquist Proft, Master Sleuth	PMKM	185s	MKM	185
Alrund's Epiphany	PKHM	41p	KHM	41
Alrund's Epiphany	PKHM	41s	KHM	41
Alrund, God of the Cosmos // Hakka, Whispering Raven	PKHM	40s	KHM	40
Altar of Bhaal // Bone Offering	PCLB	109s	CLB	109
Altar of Dementia	BRR	66z	BRR	66
Altar of the Brood	UGIN	216	KTK	216
Altered Ego	PSOI	241s	SOI	241
Always Watching	FDC	10	GNT	7
Always Watching	PSOI	1s	SOI	1
Amalia Benavides Aguirre	PLCI	221p	LCI	221
Amalia Benavides Aguirre	PLCI	221s	LCI	221
Ambition's Cost	8ED	118★	8ED	118
Ambition's Cost	FDC	84	8ED	118
Ambitious Augmenter	PSOS	140p	SOS	140
Ambling Stormshell	PTDM	37p	TDM	37
Ambling Stormshell	PTDM	37s	TDM	37
Aminatou, the Fateshifter	OC18	37	C18	37
Ammit Eternal	PHOU	57s	HOU	57
Amphibian Downpour	PMH3	51s	MH3	51
Amplifire	PRNA	92s	RNA	92
Amulet of Safekeeping	PM19	226s	M19	226
An-Zerrin Ruins	PTC	et48sb	HML	64
Anaba Bodyguard	10E	187★	10E	187
Anaba Shaman	8ED	175★	8ED	175
Anaba Shaman	9ED	172★	9ED	172
Anaconda	7ED	229★	7ED	229
Anaconda	9ED	229★	9ED	229
Anafenza, Kin-Tree Spirit	MUL	131z	MUL	131
Anafenza, Kin-Tree Spirit	PDTK	2s	DTK	2
Anafenza, Unyielding Lineage	PTDM	2p	TDM	2
Anafenza, Unyielding Lineage	PTDM	2s	TDM	2
Anafenza, the Foremost	PKTK	163s	KTK	163
Analyze the Pollen	PMKM	150p	MKM	150
Analyze the Pollen	PMKM	150s	MKM	150
Anarchist	9ED	173★	9ED	173
Anarchy	PTC	mj49sb	ICE	170
Anax and Cymede & Kynaios and Tiro	MB2	589	UNK	RZ01a
Ancestor's Chosen	10E	1★	10E	1
Ancestral Memories	7ED	59★	7ED	59
Ancestral Recall	CED	48	2ED	48
Ancestral Recall	CEI	48	2ED	48
Ancient Adamantoise	PFIN	172s	FIN	172
Ancient Brass Dragon	PCLB	111s	CLB	111
Ancient Bronze Dragon	PCLB	214s	CLB	214
Ancient Den	WC04	mb278	MRD	278
Ancient Gold Dragon	PCLB	3s	CLB	3
Ancient Imperiosaur	PMOM	174p	MOM	174
Ancient Imperiosaur	PMOM	174s	MOM	174
